context,query_ko,response_divergence,mean_top_ko,dart_top_ko,same_pick,mean_top_minority_cov,dart_top_minority_cov,dart_minority_rescue,seed
Co-culture,TPRKB,0.13298154733579884,PABPC1,PABPC1,True,0.9621306139581935,0.9621306139581935,0.0,0
Co-culture,ROMO1,0.11608355864615215,TPRKB,ILF2,False,0.986154068284961,0.9879798558137669,0.0018257875288059111,0
Co-culture,MYC,0.10768827698676028,CTPS1,PABPC1,False,0.9860285153404393,0.9856094121927694,-0.0004191031476699081,0
Co-culture,TMED10,0.10529071853158317,RNASEH2A,RNASEH2A,True,0.9875837719844417,0.9875837719844417,0.0,0
Co-culture,UQCRH,0.10111571031905275,WBP2,HLA-H,False,0.9914686814700135,0.9926858365110981,0.00121715504108455,0
Co-culture,HNRNPC,0.0982553141158381,CTPS1,NPC2,False,0.9922802155140098,0.985636723760961,-0.006643491753048791,0
Co-culture,PUF60,0.09532672963425096,PET100,AGA,False,0.9913274177124864,0.9919977824681181,0.0006703647556316472,0
Co-culture,FBL,0.09032954427907687,TP53,CDKN2A,False,0.9953221890386181,0.9936878594976165,-0.0016343295410016223,0
IFNγ,POLD2,0.09836637145864413,MYC,GAS5,False,0.9738742495258089,0.976373595425587,0.0024993458997780715,0
IFNγ,JAK1,0.09695903915586054,IFNGR1,IFNGR2,False,0.9844563216639373,0.986447204521386,0.0019908828574487503,0
IFNγ,TPRKB,0.0965108584393316,FARSA,EEF1G,False,0.9763911782690456,0.9807812916371689,0.004390113368123227,0
IFNγ,EIF4A1,0.09333515040168829,FARSA,NOLC1,False,0.9760058112131624,0.9850604350879113,0.009054623874748868,0
IFNγ,MYC,0.08570019440995556,POLD2,ATP1B1,False,0.9899580051502459,0.9904713408003816,0.0005133356501356712,0
IFNγ,FTH1,0.08556382499562162,IDH2,KCNN4,False,0.9632412329293154,0.9658253585994229,0.002584125670107462,0
IFNγ,FOXM1,0.0854030997123422,CGAS,IDI2-AS1,False,0.9908186449297116,0.9892520224237953,-0.0015666225059163263,0
IFNγ,PPA1,0.08390968776967504,GSEC,KCNN4,False,0.9863870034715552,0.9847275482490871,-0.0016594552224680204,0
