recommendation_mode,dart_method,n_queries,mean_regret_reduction,median_regret_reduction,mean_ndcg_gain,mean_minority_cov_gain,frac_regret_improved
DART_recommended,DART_energy,621,0.1716387221970612,0.05444145202636719,-0.009836912860886922,0.002859280872919727,0.5942028985507246
DART_recommended,DART_mmd,621,0.1742937069584206,0.056632041931152344,-0.007720790590812219,0.0028890277287722064,0.5990338164251208
DART_recommended,DART_sliced_wasserstein,621,0.15911000477519013,0.05455970764160156,-0.01032830252721291,0.002274959228883277,0.6103059581320451
DART_recommended,DART_coverage_mean,621,0.21517405763340458,0.09019947052001953,-0.016600217740590024,0.0041213988413183475,0.6360708534621579
DART_recommended,DART_coverage_worst,621,0.26345706945840097,0.11329460144042969,-0.028527990934870507,0.004782452596120058,0.714975845410628
mean_or_no_call,DART_energy,133,0.1158064792030736,0.04936981201171875,-0.011708476876452066,0.0020661050284968333,0.6165413533834586
mean_or_no_call,DART_mmd,133,0.11690265253970497,0.047702789306640625,-0.013681427337103692,0.0020500994661905385,0.6240601503759399
mean_or_no_call,DART_sliced_wasserstein,133,0.11493928808914988,0.038913726806640625,-0.02282539032337695,0.0016529956404128664,0.5864661654135338
mean_or_no_call,DART_coverage_mean,133,0.17308010015272557,0.102508544921875,-0.03159004034770358,0.0022789792960661802,0.6541353383458647
mean_or_no_call,DART_coverage_worst,133,0.21352636007438028,0.12352180480957031,-0.02814512445403783,0.0026447524996646653,0.7518796992481203
mean_sufficient,DART_energy,11,-0.10383744673295454,0.0,-0.006717898115665533,-0.01495744250230412,0.18181818181818182
mean_sufficient,DART_mmd,11,0.13789107582785867,0.0,-0.005376258812176162,-0.006069829355616083,0.36363636363636365
mean_sufficient,DART_sliced_wasserstein,11,-0.344680439342152,0.0,-0.012183191739151137,-0.027306798905920793,0.09090909090909091
mean_sufficient,DART_coverage_mean,11,0.09219897877086293,0.0,-0.03106720090889997,-0.006589159299174515,0.36363636363636365
mean_sufficient,DART_coverage_worst,11,0.2581901550292969,0.0,-0.07132530971575173,0.018968082454993453,0.36363636363636365
